Ticker,Security,GICS Sector,GICS Sub Industry,TickerInfo,CompanyInfo,CompanyWeb,CompanyOverview
AET,Aetna Inc,Health Care,Managed Health Care,https://www.nyse.com/quote/XNYS:AET  ,https://en.wikipedia.org/wiki/Aetna_Inc                                                             ,http://www.aetna.com/,"Aetna Inc. is a diversified healthcare benefits company. The Company operates through three segments: Health Care, Group Insurance and Large Case Pensions. It offers a range of traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental, behavioral health, group life and disability plans, medical management capabilities, Medicaid healthcare management services, Medicare Advantage and Medicare Supplement plans, workers' compensation administrative services and health information technology (HIT) products and services. The Health Care segment consists of medical, pharmacy benefit management services, dental, behavioral health and vision plans offered on both an Insured basis and an employer-funded basis, and emerging businesses products and services. The Group Insurance segment includes group life insurance and group disability products. Its products are offered on an Insured basis."
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,https://www.nyse.com/quote/XNYS:AMG  ,https://en.wikipedia.org/wiki/Affiliated_Managers_Group_Inc                                         ,http://www.amg.com/,"Affiliated Managers Group, Inc. is an asset management company with equity investments in boutique investment management firms. The Company operates in three segments, which represent its principal distribution channels: Institutional, Mutual Fund and High Net Worth. The equity method investments in the Institutional distribution channel are made in relationships with public and private client entities, including foundations, endowments, sovereign wealth funds and retirement plans for corporations and municipalities. The equity method investments in the Mutual Fund distribution channel are made in advisory or sub-advisory relationships with active return-oriented mutual funds, Undertakings for Collective Investment in Transferable Securities and other retail products. The equity method investments in the High Net Worth distribution channel are made in relationships with high net worth and ultra-high net worth individuals, families, trusts, foundations, endowments and retirement plans."
AFL,AFLAC Inc,Financials,Life & Health Insurance,https://www.nyse.com/quote/XNYS:AFL  ,https://en.wikipedia.org/wiki/AFLAC_Inc                                                             ,http://www.aflac.com,"Aflac Incorporated is a business holding company. The Company is involved in supplemental health and life insurance, which is marketed and administered through its subsidiary, American Family Life Assurance Company of Columbus (Aflac). The Company's insurance business consists of two segments: Aflac Japan and Aflac U.S. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. The Company offers cancer plans, critical illness plans, and critical care and recovery plans. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. The Company offers cancer plans, critical illness plans, and critical care and recovery plans."
A,Agilent Technologies Inc,Health Care,Health Care Equipment,https://www.nyse.com/quote/XNYS:A    ,https://en.wikipedia.org/wiki/Agilent_Technologies_Inc                                              ,http://www.agilent.com/,"Agilent Technologies, Inc. provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, diagnostics and applied chemical markets. It has three business segments: life sciences and applied markets business, diagnostics and genomics business, and Agilent CrossLab business. Its life sciences and applied markets business segment offers instruments and software that enable customers to identify, quantify and analyze the physical and biological properties of substances and products, as well as enable customers in the clinical and life sciences research areas to interrogate samples at the molecular level. Its diagnostics and genomics business segment includes the reagent partnership, pathology, companion diagnostics, genomics and the nucleic acid solutions businesses. Its Agilent CrossLab business segment spans the entire lab with its consumables and services portfolio."
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,https://www.nyse.com/quote/XNYS:APD  ,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals_Inc                                        ,http://www.airproducts.com/,"Air Products and Chemicals, Inc., is an industrial gases company. The Company's Industrial Gases business provides atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. The Company is also a supplier of liquefied natural gas process technology and equipment. The Company operates through five segments: Industrial Gases-Americas, Industrial Gases-Europe, Middle East, and Africa (EMEA), Industrial Gases-Asia, Industrial Gases-Global, and Corporate and other."
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,http://www.nasdaq.com/symbol/akam    ,https://en.wikipedia.org/wiki/Akamai_Technologies_Inc                                               ,http://www.akamai.com,"Akamai Technologies, Inc. is engaged in providing cloud services for delivering, optimizing and securing content and business applications over the Internet. The Company is involved in offering content delivery network (CDN) services. Its services include the delivery of content, applications and software over the Internet, as well as mobile and security solutions. Its solutions include Performance and Security Solutions, Media Delivery Solutions, and Service and Support Solutions. Its Performance and Security Solutions include Web and Mobile Performance Solutions, Cloud Security Solutions, Enterprise Solutions and Network Operator Solutions. The Media Delivery Solutions offerings include Adaptive Delivery solutions, Download Delivery offerings, Infinite Media Acceleration solutions Media Services and Media Analytics. It offers a range of professional services and solutions designed to assist its customers with integrating, configuring, optimizing and managing its core offerings."
ALK,Alaska Air Group Inc,Industrials,Airlines,https://www.nyse.com/quote/XNYS:ALK  ,https://en.wikipedia.org/wiki/Alaska_Air_Group_Inc                                                  ,http://www.alaskaair.com,"Alaska Air Group, Inc. is the holding company of Alaska Airlines (Alaska), Virgin America Inc., Horizon Air (Horizon) and other business units. The Company operates through three segments: Mainline, Regional and Horizon. Its Mainline segment includes Alaska's and Virgin America's scheduled air transportation for passengers and cargo throughout the United States, and in parts of Canada, Mexico, Costa Rica and Cuba. Its Regional segment includes Horizon's and other third-party carriers' scheduled air transportation for passengers across a shorter distance network within the United States under capacity purchased arrangements (CPAs). Its Horizon segment includes the capacity sold to Alaska under CPA. Alaska and Virgin America operate fleets of narrowbody passenger jets. As of December 31, 2016, it maintained two frequent flyer plans: the Alaska Airlines Mileage Plan and the Virgin America Elevate."
ALB,Albemarle Corp,Materials,Specialty Chemicals,https://www.nyse.com/quote/XNYS:ALB  ,https://en.wikipedia.org/wiki/Albemarle_Corp                                                        ,http://www.albemarle.com/Home-3.html,"Albemarle Corporation is a global developer, manufacturer and marketer of highly-engineered specialty chemicals. The Company operates through three segments: Lithium and Advanced Materials, Bromine Specialties and Refining Solutions. Lithium and Advanced Materials segment consist of two product categories: Lithium and Performance Catalyst Solutions. The bromine and bromine-based business includes products used in fire safety solutions and other specialty chemicals applications. The Company serves various end markets, including petroleum refining, consumer electronics, energy storage, construction, automotive, lubricants, pharmaceuticals, crop protection, food safety and custom chemistry services. As of December 31, 2016, the Company and its joint ventures operated 31 production and research and development (R&D) facilities, as well as a number of administrative and sales offices, around the world."
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,https://www.nyse.com/quote/XNYS:ARE  ,https://en.wikipedia.org/w/index.php?title=Alexandria_Real_Estate_Equities_Inc&action=edit&redlink=1,http://www.are.com,"Alexandria Real Estate Equities, Inc. is a real estate investment (REIT). The Company is engaged in the business of providing space for lease to the life science and technology industries. It focuses on collaborative life science and technology campuses. It develops urban cluster campuses and ecosystems. As of December 31, 2016, the Company had 199 properties in North America. As of December 31, 2016, its asset base in North America consisted of 25.2 million square feet, including 19.9 million rentable square feet/foot (RSF) of operating properties, and development and redevelopment of under construction or pre-construction, as well as 5.3 million square feet of future ground-up development projects. Its properties are located in various areas, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland and Research Triangle Park. Its properties include Alexandria Technology Square, Alexandria Park at 128 and Alexandria Technology Center-Gateway."
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,http://www.nasdaq.com/symbol/alxn    ,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals                                               ,http://www.alxn.com/,"Alexion Pharmaceuticals, Inc. is a biopharmaceutical company. The Company is focused on the development and commercialization of therapeutic products. The Company's products include Soliris (eculizumab), Strensiq (asfotase alfa) and Kanuma (sebelipase alfa). The Company's clinical development programs include Soliris (eculizumab), cPMP (ALXN1101), SBC-103, ALXN1210 (IV) and ALXN1210 (Subcutaneous). Its Soliris is the therapeutic approved for patients with either paroxysmal nocturnal hemoglobinuria (PNH) or hemolytic uremic syndrome (aHUS). PNH and aHUS result from chronic uncontrolled activation of the complement component of the immune system. Its Strensiq is for the treatment of patients with Hypophosphatasia (HPP). Its product, Kanuma is for the treatment of patients with Lysosomal Acid Lipase Deficiency (LAL-D). It is a recombinant form of the human LAL enzyme, which is a replacement therapy that is approved for the treatment for patients with LAL-D."
ALGN,Align Technology,Health Care,Health Care Supplies,http://www.nasdaq.com/symbol/algn    ,https://en.wikipedia.org/wiki/Align_Technology                                                      ,http://www.aligntech.com/,"Align Technology, Inc. designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and computer-aided design/computer-aided manufacturing (CAD/CAM) digital services used in dentistry, orthodontics and dental records storage. The Company operates through two segments: Clear Aligner segment and Scanner and Services (Scanner) segment. The Clear Aligner segment consists of its Invisalign System, which includes Invisalign Full, Teen and Assist (Comprehensive Products), Express/Lite (Non-Comprehensive Products) and Vivera Retainers, along with its training and ancillary products for treating malocclusion (Non-Case). The Scanner segment consists of intra-oral scanning systems and other services available with the intra-oral scanners that provide digital alternatives to the traditional cast models. The Scanner segment includes its iTero scanner and OrthoCAD services."
ALLE,Allegion,Industrials,Building Products,https://www.nyse.com/quote/XNYS:ALLE ,https://en.wikipedia.org/wiki/Allegion                                                              ,http://www.allegion.com,"Allegion Public Limited Company is a provider of security products and solutions. The Company offers a portfolio of mechanical and electronic security products across a range of brands. Its segments include Americas; Europe, Middle East, India and Africa (EMEIA), and Asia Pacific. Its products include door closers and controls; door and door frames (steel); electronic security products; electronic and biometric access control systems; exit devices; locks, locksets, portable locks and key systems; time, attendance and workforce productivity systems, and other accessories. It sells a range of security products and solutions for end users in commercial, institutional and residential facilities across the world, including into the education, healthcare, government, hospitality, commercial office and single and multi-family residential markets. As of December 31, 2016, it manufactured and sold mechanical and electronic security products and solutions in approximately 130 countries."
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,https://www.nyse.com/quote/XNYS:AGN  ,"https://en.wikipedia.org/wiki/Allergan,_Plc                                                         ",https://www.allergan.com,"Allergan plc is a specialty pharmaceutical company. The Company is engaged in the development, manufacturing, marketing and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and over-the-counter pharmaceutical products. The Company operates through three segments: US Specialized Therapeutics, US General Medicine and International. The US Specialized Therapeutics segment includes sales relating to branded products within the United States, including Medical Aesthetics, Medical Dermatology, Eye Care, Neurosciences and Urology therapeutic products. The US General Medicine segment includes sales relating to branded products within the United States that do not fall into the US Specialized Therapeutics business units, including Central Nervous System, Gastrointestinal, Women's Health, Anti-Infectives and Diversified Brands. The International segment includes sales relating to products sold outside the United States."
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,https://www.nyse.com/quote/XNYS:ADS  ,https://en.wikipedia.org/wiki/Alliance_Data_Systems                                                 ,https://www.alliancedata.com/,"Alliance Data Systems Corporation is a provider of data-driven marketing and loyalty solutions serving consumer-based businesses in a range of industries. The Company offers a portfolio of integrated outsourced marketing solutions, including customer loyalty programs, database marketing services, end-to-end marketing services, analytics and creative services, direct marketing services, and private label and co-brand retail credit card programs. The Company operates through three segments: LoyaltyOne, which provides coalition and short-term loyalty programs through the Company's Canadian AIR MILES Reward Program and BrandLoyalty Group B.V. (BrandLoyalty); Epsilon, which provides end-to-end, integrated direct marketing solutions, and Card Services, which provides risk management solutions, account origination, funding, transaction processing, customer care, collections and marketing services for the Company's private label and co-brand retail credit card programs."
LNT,Alliant Energy Corp,Utilities,Electric Utilities,https://www.nyse.com/quote/XNYS:LNT  ,https://en.wikipedia.org/wiki/Alliant_Energy_Corp                                                   ,http://www.alliantenergy.com,"Alliant Energy Corporation operates as a regulated investor-owned public utility holding company. The Company's segments include Utility and Non-regulated, Parent and Other. The Utility segment includes the operations of Interstate Power and Light Company (IPL) and Wisconsin Power and Light Company (WPL), which serve retail customers in Iowa and Wisconsin. The Utility segment includes utility electric operations, utility gas operations and utility other, which includes steam operations and the unallocated portions of the utility business. Its Non-regulated, Parent and Other segment includes the operations of Alliant Energy Resources, LLC and its subsidiaries; Alliant Energy Corporate Services, Inc. (Corporate Services); the Alliant Energy parent company, and any Alliant Energy parent company consolidating adjustments. IPL and WPL own a portfolio of electric generating units located in Iowa, Wisconsin and Minnesota with a fuel mix, including coal, natural gas and renewable resources."
ALL,Allstate Corp,Financials,Property & Casualty Insurance,https://www.nyse.com/quote/XNYS:ALL  ,https://en.wikipedia.org/wiki/Allstate_Corp                                                         ,http://www.allstateinvestors.com/,"The Allstate Corporation (Allstate) is a holding company for Allstate Insurance Company. The Company's business is conducted principally through Allstate Insurance Company, Allstate Life Insurance Company and other subsidiaries. It is engaged in the property-liability insurance business and the life insurance, retirement and investment products business. Its segments include Allstate Protection, Allstate Financial, Discontinued Lines and Coverages, and Corporate and Other. The Allstate Protection segment sells private passenger auto, homeowners, and other property-liability insurance products through agencies and directly through contact centers and the Internet. The Allstate Financial segment sells life insurance and voluntary accident and health insurance products. The Corporate and Other segment consists of holding company activities and certain non-insurance operations. Its Discontinued Lines and Coverages segment includes results from property-liability insurance coverage."
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,http://www.nasdaq.com/symbol/googl   ,https://en.wikipedia.org/wiki/Alphabet_Inc.                                                         ,https://abc.xyz/,"Alphabet Inc. is a holding company. The Company's businesses include Google Inc. (Google) and its Internet products, such as Access, Calico, CapitalG, GV, Nest, Verily, Waymo and X. The Company's segments include Google and Other Bets. The Google segment includes its Internet products, such as Search, Ads, Commerce, Maps, YouTube, Google Cloud, Android, Chrome and Google Play, as well as its hardware initiatives. The Google segment is engaged in advertising, sales of digital content, applications and cloud offerings, and sales of hardware products. The Other Bets segment is engaged in the sales of Internet and television services through Google Fiber, sales of Nest products and services, and licensing and research and development (R&D) services through Verily. It offers Google Assistant, which allows users to type or talk with Google; Google Maps, which helps users navigate to a store, and Google Photos, which helps users store and organize all of their photos."
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,http://www.nasdaq.com/symbol/goog    ,https://en.wikipedia.org/wiki/Alphabet_Inc.                                                         ,https://abc.xyz/,"Alphabet Inc. is a holding company. The Company's businesses include Google Inc. (Google) and its Internet products, such as Access, Calico, CapitalG, GV, Nest, Verily, Waymo and X. The Company's segments include Google and Other Bets. The Google segment includes its Internet products, such as Search, Ads, Commerce, Maps, YouTube, Google Cloud, Android, Chrome and Google Play, as well as its hardware initiatives. The Google segment is engaged in advertising, sales of digital content, applications and cloud offerings, and sales of hardware products. The Other Bets segment is engaged in the sales of Internet and television services through Google Fiber, sales of Nest products and services, and licensing and research and development (R&D) services through Verily. It offers Google Assistant, which allows users to type or talk with Google; Google Maps, which helps users navigate to a store, and Google Photos, which helps users store and organize all of their photos."
MO,Altria Group Inc,Consumer Staples,Tobacco,https://www.nyse.com/quote/XNYS:MO   ,https://en.wikipedia.org/wiki/Altria_Group_Inc                                                      ,http://www.altria.com/,"Altria Group, Inc. is a holding company. The Company's segments include smokeable products, smokeless products and wine. The Company's subsidiaries include Philip Morris USA Inc. (PM USA), which is engaged in the manufacture and sale of cigarettes in the United States; John Middleton Co. (Middleton), which is engaged in the manufacture and sale of machine-made cigars and pipe tobacco, and UST LLC (UST), which, through its subsidiaries, including U.S. Smokeless Tobacco Company LLC (USSTC) and Ste. Michelle Wine Estates Ltd. (Ste. Michelle), is engaged in the manufacture and sale of smokeless tobacco products and wine. Its other operating companies include Nu Mark LLC (Nu Mark), a subsidiary that is engaged in the manufacture and sale of tobacco products, and Philip Morris Capital Corporation (PMCC), a subsidiary that maintains a portfolio of finance assets. Other subsidiaries include Altria Group Distribution Company and Altria Client Services LLC."
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,http://www.nasdaq.com/symbol/amzn    ,https://en.wikipedia.org/wiki/Amazon.com_Inc                                                        ,http://www.amazon.com/,"Amazon.com, Inc. offers a range of products and services through its Websites. The Company operates through three segments: North America, International and Amazon Web Services (AWS). The Company's products include merchandise and content that it purchases for resale from vendors and those offered by third-party sellers. It also manufactures and sells electronic devices. The Company, through its subsidiary, Whole Foods Market, Inc., offers healthy and organic food and staples across its stores. The Company also offers a range of products like whole trade bananas, organic avocados, organic large brown eggs, organic responsibly-farmed salmon and tilapia, organic baby kale and baby lettuce, animal-welfare-rated 85% lean ground beef, creamy and crunchy almond butter, organic gala and fuji apples, organic rotisserie chicken."
AEE,Ameren Corp,Utilities,Multi-Utilities,https://www.nyse.com/quote/XNYS:AEE  ,https://en.wikipedia.org/wiki/Ameren_Corp                                                           ,http://www.ameren.com/,"Ameren Corporation is a utility holding company. The Company's subsidiaries include Ameren Missouri, Ameren Illinois and Ameren Transmission Company (ATXI). It operates through four segments. The Ameren Missouri segment includes all of the operations of Ameren Missouri. The Ameren Illinois Electric Distribution segment consists of the electric distribution business of Ameren Illinois. The Ameren Illinois Natural Gas segment consists of the natural gas business of Ameren Illinois. The ATXI segment consists of the aggregated electric transmission businesses of Ameren Illinois and ATXI. Ameren Missouri operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas distribution business in Missouri. Ameren Illinois operates rate-regulated electric distribution, electric transmission and natural gas distribution businesses in Illinois. ATXI operates a Federal Energy Regulatory Commission rate-regulated electric transmission business."
AAL,American Airlines Group,Industrials,Airlines,http://www.nasdaq.com/symbol/aal     ,https://en.wikipedia.org/wiki/American_Airlines_Group                                               ,https://www.aa.com/,"American Airlines Group Inc. is a holding company. The Company's primary business activity is the operation of a network air carrier, providing scheduled air transportation for passengers and cargo. The Company operates through American segment, which provides air transportation for passengers and cargo. The Company's cargo division provides a range of freight and mail services with facilities and interline connections available across the globe. Together with its regional airline subsidiaries and third-party regional carriers operating as American Eagle, its airline operated an average of nearly 6,700 flights per day to nearly 350 destinations in more than 50 countries, principally from its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, District of Columbia, as of December 31, 2016. In the fiscal year ended December 31, 2016, approximately 199 million passengers boarded its mainline and regional flights."
AEP,American Electric Power,Utilities,Electric Utilities,https://www.nyse.com/quote/XNYS:AEP  ,https://en.wikipedia.org/wiki/American_Electric_Power                                               ,http://www.aep.com/,"American Electric Power Company, Inc. (AEP) is a public utility holding company that owns, directly or indirectly, all of the outstanding common stock of its public utility subsidiaries and varying percentages of other subsidiaries. The service areas of the Company's public utility subsidiaries cover the states of Arkansas, Indiana, Kentucky, Louisiana, Michigan, Ohio, Oklahoma, Tennessee, Texas, Virginia and West Virginia. The Company's segments include Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing. AEP's vertically integrated utility operations are engaged in the generation, transmission and distribution of electricity for sale to retail and wholesale customers. Transmission and Distribution Utilities segment consists of the transmission and distribution of electricity for sale to retail and wholesale customers. AEP Transmission Holdco develops, constructs and operates transmission facilities."
AXP,American Express Co,Financials,Consumer Finance,https://www.nyse.com/quote/XNYS:AXP  ,https://en.wikipedia.org/wiki/American_Express_Co                                                   ,https://www.americanexpress.com,"American Express Company, together with its subsidiaries, is a global services company. The Company's principal products and services are charge and credit card products, and travel-related services, which are offered to consumers and businesses around the world. Its segments include the U.S. Consumer Services (USCS), International Consumer and Network Services (ICNS), Global Commercial Services (GCS) and Global Merchant Services (GMS). The USCS includes the U.S. Consumer Card Services business and consumer travel services in the United States. The ICNS includes the International Consumer Card Services business, Global Network Services business and consumer travel services outside the United States. The GCS includes the Global Corporate Payments business, small business services businesses in the United States and internationally, financing products and foreign exchange services operations. The GMS includes the Global Merchant Services business and global loyalty coalition businesses."
